Language,Category,Aspect,Count,Negative,Neutral,Positive,Negative_Probability,Neutral_Probability,Positive_Probability,Aspect_Category
German,Unknown,druck,52,31,19,2,0.5236276201187418,0.3598797060549259,0.1164926750442156,leute
German,Others,entfristung,87,37,47,3,0.4316605608268031,0.4578282134286288,0.1105112249845232,befristung
German,PostDoc,entfristung,79,37,41,1,0.4674403365654281,0.4382745882001104,0.0942850807634524,befristung
German,Professor,entfristung,84,28,51,5,0.3928777660642351,0.4755775615395534,0.1315446711766223,befristung
German,Others,erfahrung,84,18,59,7,0.2958502733104285,0.548197517614989,0.1559522080545624,jahr
German,PostDoc,erfahrung,87,31,48,8,0.3750429528968773,0.4652836709015671,0.1596733697572316,jahr
German,Professor,erfahrung,67,17,40,10,0.2902096434871652,0.5031372485543365,0.2066531127402142,jahr
German,Unknown,erfahrung,60,22,32,6,0.4209824601809184,0.4347409535199403,0.1442765852281202,jahr
German,Others,familie,64,30,28,6,0.4376514910836704,0.415937231387943,0.1464112872490659,stelle
German,PostDoc,familie,96,40,51,5,0.4155790574344185,0.4544098601133252,0.1300110793769514,stelle
German,Professor,familie,61,23,33,5,0.3749229226444588,0.4868949547898574,0.1381821203060814,stelle
German,Unknown,familie,62,26,30,6,0.3960956859612657,0.4423827057884585,0.1615216068983558,stelle
German,Others,folge,76,16,54,6,0.2577477803110684,0.5642700278151193,0.177982199679766,leute
German,PostDoc,folge,56,16,36,4,0.3650681835798813,0.4805899706802198,0.154341852741449,leute
German,Others,forderung,87,19,60,8,0.3019511508273667,0.5482823210714878,0.1497665285507495,grund
German,PostDoc,forderung,73,20,47,6,0.3639863428902136,0.4764336766547536,0.1595799831852112,grund
German,Professor,forderung,51,17,32,2,0.3952128752408659,0.4926658713934468,0.1121212494577847,grund
German,Others,forschung,309,79,207,23,0.3215599487442221,0.5229970121750168,0.1554430408560004,forschung
German,PhD Student,forschung,110,39,61,10,0.3819571047343991,0.4580473785034635,0.1599955116313967,forschung
German,PostDoc,forschung,427,108,282,37,0.3334046236088879,0.5125852543119106,0.1540101226179291,forschung
German,Professor,forschung,373,98,240,35,0.3291920537813179,0.504259836048527,0.166548109373662,forschung
German,Unknown,forschung,257,88,149,20,0.3886347673253558,0.4789006297661404,0.1324646013756264,forschung
German,Others,frage,109,38,65,6,0.3837766901273793,0.496592239570727,0.1196310697636063,problem
German,PostDoc,frage,166,61,97,8,0.4116823915167745,0.5043698959052563,0.0839477120730352,problem
German,Professor,frage,126,38,78,10,0.3785474416282441,0.4928161971980617,0.1286363596658385,problem
German,Unknown,frage,84,27,56,1,0.3856956348532722,0.552581811900295,0.0617225515057465,problem
German,Others,frau,58,26,31,1,0.442449651658535,0.4632659104877504,0.0942844328759559,bmbf
German,PostDoc,frau,66,30,31,5,0.4324827945198525,0.4134612361138517,0.1540559720332649,bmbf
German,Professor,frau,63,24,30,9,0.4030529258861428,0.4141956427031093,0.1827514325785968,bmbf
German,Others,geld,89,46,40,3,0.4718970352511727,0.420073285782605,0.1080296741526448,geld
German,PostDoc,geld,141,74,64,3,0.4813322857920582,0.4152087747310916,0.1034589412073928,geld
German,Professor,geld,135,65,62,8,0.4717915573605785,0.397913448843691,0.1302949948719254,geld
German,Unknown,geld,139,66,66,7,0.4731183503385928,0.412398497888939,0.114483147805972,geld
German,Others,geschichte,51,13,32,6,0.3084027066315506,0.514060816198003,0.1775364871410762,forschung
German,PostDoc,geschichte,61,18,37,6,0.3328302456218688,0.5014886284460787,0.1656811211838341,forschung
German,Others,gesellschaft,62,17,41,4,0.3401398320472048,0.51506248440954,0.1447976831827432,politik
German,PostDoc,gesellschaft,79,37,38,4,0.4536372544833376,0.4173188160020339,0.1290439322024961,politik
German,Professor,gesellschaft,59,24,30,5,0.4025497949855812,0.433257786272946,0.1641924169261829,politik
German,Unknown,gesellschaft,74,43,27,4,0.4973879191722419,0.3890979733519457,0.113514102806614,politik
German,Others,gesetz,78,27,47,4,0.3833882673046527,0.4841044788272717,0.1325072516591694,politik
German,PostDoc,gesetz,77,29,44,4,0.4452352569765084,0.4441453764432823,0.1106193643305208,politik
German,Professor,gesetz,64,28,33,3,0.4739482229342684,0.4187231297255493,0.1073286445607664,politik
German,Unknown,gesetz,58,32,25,1,0.5125004283698469,0.4023182465341584,0.0851813261557755,politik
German,Others,grund,69,30,31,8,0.4516776336383992,0.3902257888753345,0.1580965746248114,grund
German,PostDoc,grund,75,31,38,6,0.4413499679168065,0.4033858932554722,0.1552641301353772,grund
German,Professor,grund,80,42,28,10,0.5117183274589479,0.3479928533080965,0.1402888122014701,grund
German,Unknown,grund,63,32,29,2,0.5094137115492707,0.3728584624412987,0.117727827399023,grund
German,Others,hanna,197,58,112,27,0.3560135916518378,0.4465894597360325,0.1973969516755663,hanna
German,PhD Student,hanna,61,21,28,12,0.3511517806528288,0.4343721702328471,0.2144760477860443,hanna
German,PostDoc,hanna,254,81,133,40,0.3870178537780609,0.4064595971153829,0.2065225508592025,hanna
German,Professor,hanna,229,89,110,30,0.4127779159548501,0.4070496143667458,0.1801724737656493,hanna
German,Unknown,hanna,188,76,81,31,0.4084075751734223,0.3868409596443017,0.2047514624725234,hanna
German,Others,hochschule,385,103,261,21,0.3484132346878578,0.5296311124385177,0.1219556520003583,hochschule
German,PhD Student,hochschule,71,38,27,6,0.4805609669903634,0.3844278578607129,0.1350111758966051,hochschule
