Category,Language,Aspect,Count,Aspect_Category,Negative,Neutral,Positive
Unknown,German,bereich,69,hanna,41,23,5
Others,German,berlin,66,hanna,24,26,16
Others,German,beschäftigung,66,arbeit,24,37,5
PostDoc,German,beschäftigung,60,arbeit,24,30,6
Others,German,bildung,81,hochschule,31,38,12
PostDoc,German,bildung,72,hochschule,38,27,7
Unknown,German,bildung,62,hochschule,43,13,6
Others,German,bmbf,73,bmbf,34,26,13
PostDoc,German,bmbf,110,bmbf,63,27,20
Professor,German,bmbf,81,bmbf,50,23,8
Others,German,chance,70,jahr,31,24,15
PostDoc,German,chance,103,jahr,52,30,21
Professor,German,chance,106,jahr,67,23,16
Unknown,German,chance,70,jahr,43,12,15
Others,German,daueraufgabe,140,befristung,36,72,32
